Event,Fight,Fighter,KD,TotStr,TD,TdPct,SubAtt,Rev,CtrlTime,SigStr,SigStrPct,Head,Body,Leg,Distance,Clinch,Ground
UFC 292: Sterling vs. O'Malley,Andrea Lee vs. Natalia Silva,Natalia Silva,0,70 of 174,0 of 0,---,0,0,0:00,70 of 174,40%,34 of 111,17 of 43,19 of 20,70 of 174,0 of 0,0 of 0
UFC Fight Night: Luque vs. Dos Anjos,Vicente Luque vs. Rafael Dos Anjos,Vicente Luque,0,138 of 221,8 of 11,72%,0,0,12:01,72 of 141,51%,48 of 115,17 of 19,7 of 7,60 of 127,8 of 8,4 of 6
UFC Fight Night: Luque vs. Dos Anjos,Vicente Luque vs. Rafael Dos Anjos,Rafael Dos Anjos,0,94 of 170,2 of 7,28%,1,0,3:54,66 of 136,48%,42 of 108,19 of 23,5 of 5,38 of 105,26 of 27,2 of 4
UFC Fight Night: Luque vs. Dos Anjos,Cub Swanson vs. Hakeem Dawodu,Cub Swanson,0,107 of 195,1 of 2,50%,0,0,1:25,77 of 156,49%,41 of 112,27 of 31,9 of 13,59 of 135,18 of 21,0 of 0
UFC Fight Night: Luque vs. Dos Anjos,Cub Swanson vs. Hakeem Dawodu,Hakeem Dawodu,0,129 of 224,0 of 0,---,0,1,3:10,95 of 176,53%,41 of 104,29 of 37,25 of 35,79 of 158,16 of 18,0 of 0
UFC Fight Night: Luque vs. Dos Anjos,Khalil Rountree Jr. vs. Chris Daukaus,Khalil Rountree Jr.,1,16 of 24,0 of 0,---,0,0,0:31,16 of 24,66%,12 of 19,3 of 4,1 of 1,11 of 17,3 of 4,2 of 3
UFC Fight Night: Luque vs. Dos Anjos,Khalil Rountree Jr. vs. Chris Daukaus,Chris Daukaus,0,14 of 28,0 of 1,0%,0,0,0:04,8 of 21,38%,6 of 19,2 of 2,0 of 0,7 of 19,1 of 2,0 of 0
UFC Fight Night: Luque vs. Dos Anjos,Polyana Viana vs. Iasmin Lucindo,Polyana Viana,0,41 of 68,1 of 3,33%,0,0,1:58,10 of 25,40%,2 of 15,4 of 6,4 of 4,10 of 25,0 of 0,0 of 0
UFC Fight Night: Luque vs. Dos Anjos,Polyana Viana vs. Iasmin Lucindo,Iasmin Lucindo,0,31 of 48,2 of 2,100%,1,0,3:13,10 of 24,41%,5 of 18,4 of 5,1 of 1,9 of 21,0 of 0,1 of 3
UFC Fight Night: Luque vs. Dos Anjos,AJ Dobson vs. Tafon Nchukwi,AJ Dobson,0,98 of 176,2 of 3,66%,0,0,4:33,67 of 134,50%,19 of 75,12 of 18,36 of 41,61 of 119,2 of 5,4 of 10
UFC Fight Night: Luque vs. Dos Anjos,AJ Dobson vs. Tafon Nchukwi,Tafon Nchukwi,0,59 of 106,0 of 0,---,0,0,0:00,53 of 99,53%,11 of 47,12 of 15,30 of 37,49 of 92,4 of 7,0 of 0
UFC Fight Night: Luque vs. Dos Anjos,Josh Fremd vs. Jamie Pickett,Josh Fremd,0,59 of 109,0 of 3,0%,2,1,7:15,31 of 80,38%,11 of 49,10 of 18,10 of 13,22 of 64,6 of 11,3 of 5
UFC Fight Night: Luque vs. Dos Anjos,Josh Fremd vs. Jamie Pickett,Jamie Pickett,0,26 of 67,2 of 3,66%,0,0,3:01,14 of 52,26%,4 of 31,6 of 16,4 of 5,11 of 45,3 of 7,0 of 0
UFC Fight Night: Luque vs. Dos Anjos,JP Buys vs. Marcus McGhee,JP Buys,0,4 of 30,0 of 1,0%,0,0,0:00,4 of 30,13%,2 of 22,1 of 3,1 of 5,4 of 29,0 of 1,0 of 0
UFC Fight Night: Luque vs. Dos Anjos,JP Buys vs. Marcus McGhee,Marcus McGhee,1,7 of 13,0 of 0,---,0,0,0:05,7 of 13,53%,6 of 11,0 of 0,1 of 2,7 of 13,0 of 0,0 of 0
UFC Fight Night: Luque vs. Dos Anjos,Terrance McKinney vs. Mike Breeden,Terrance McKinney,0,30 of 47,0 of 2,0%,0,0,0:03,30 of 47,63%,23 of 36,7 of 11,0 of 0,16 of 30,11 of 14,3 of 3
UFC Fight Night: Luque vs. Dos Anjos,Terrance McKinney vs. Mike Breeden,Mike Breeden,0,1 of 5,0 of 1,0%,0,0,0:00,1 of 5,20%,0 of 4,1 of 1,0 of 0,1 of 5,0 of 0,0 of 0
UFC Fight Night: Luque vs. Dos Anjos,Francis Marshall vs. Isaac Dulgarian,Francis Marshall,0,11 of 16,0 of 0,---,0,0,0:00,2 of 7,28%,0 of 5,0 of 0,2 of 2,2 of 7,0 of 0,0 of 0
UFC Fight Night: Luque vs. Dos Anjos,Francis Marshall vs. Isaac Dulgarian,Isaac Dulgarian,0,61 of 83,1 of 1,100%,0,0,4:18,35 of 53,66%,32 of 50,0 of 0,3 of 3,3 of 4,0 of 0,32 of 49
UFC Fight Night: Luque vs. Dos Anjos,Josh Parisian vs. Martin Buday,Josh Parisian,0,27 of 63,0 of 0,---,0,0,0:13,26 of 61,42%,15 of 49,6 of 7,5 of 5,20 of 47,6 of 14,0 of 0
UFC Fight Night: Luque vs. Dos Anjos,Josh Parisian vs. Martin Buday,Martin Buday,0,62 of 91,1 of 1,100%,1,0,1:56,42 of 67,62%,35 of 60,7 of 7,0 of 0,28 of 49,14 of 18,0 of 0
UFC Fight Night: Luque vs. Dos Anjos,Jaqueline Amorim vs. Montserrat Conejo Ruiz,Jaqueline Amorim,0,141 of 208,1 of 3,33%,4,2,8:05,86 of 136,63%,76 of 120,9 of 14,1 of 2,6 of 15,0 of 0,80 of 121
UFC Fight Night: Luque vs. Dos Anjos,Jaqueline Amorim vs. Montserrat Conejo Ruiz,Montserrat Conejo Ruiz,0,20 of 57,1 of 1,100%,0,0,3:39,6 of 36,16%,2 of 29,2 of 4,2 of 3,5 of 31,0 of 1,1 of 4
UFC Fight Night: Sandhagen vs. Font,Cory Sandhagen vs. Rob Font,Cory Sandhagen,0,132 of 211,7 of 7,100%,1,0,19:38,34 of 84,40%,30 of 79,2 of 3,2 of 2,10 of 47,0 of 1,24 of 36
UFC Fight Night: Sandhagen vs. Font,Cory Sandhagen vs. Rob Font,Rob Font,0,25 of 69,1 of 2,50%,0,0,1:08,9 of 49,18%,5 of 43,2 of 3,2 of 3,8 of 44,0 of 3,1 of 2
UFC Fight Night: Sandhagen vs. Font,Jessica Andrade vs. Tatiana Suarez,Jessica Andrade,0,13 of 31,0 of 0,---,0,0,0:17,11 of 29,37%,2 of 14,5 of 8,4 of 7,8 of 23,3 of 6,0 of 0
UFC Fight Night: Sandhagen vs. Font,Jessica Andrade vs. Tatiana Suarez,Tatiana Suarez,0,25 of 51,3 of 3,100%,1,0,2:22,23 of 49,46%,3 of 20,17 of 26,3 of 3,13 of 36,10 of 13,0 of 0
