Event,Fight,Fighter,Round,KD,TotStr,TD,TdPct,SubAtt,Rev,CtrlTime,SigStr,SigStrPct,Head,Body,Leg,Distance,Clinch,Ground
UFC Fight Night: Gane vs. Spivac,Benoit Saint Denis vs. Thiago Moises,Benoit Saint Denis,2,0,66 of 115,4 of 6,66%,0,0,3:02,60 of 105,57%,31 of 74,13 of 15,16 of 16,12 of 21,8 of 8,40 of 76
UFC Fight Night: Gane vs. Spivac,Benoit Saint Denis vs. Thiago Moises,Thiago Moises,1,0,19 of 47,0 of 1,0%,1,0,0:00,18 of 45,40%,9 of 32,7 of 11,2 of 2,18 of 45,0 of 0,0 of 0
UFC Fight Night: Gane vs. Spivac,Benoit Saint Denis vs. Thiago Moises,Thiago Moises,2,0,8 of 20,1 of 2,50%,0,0,0:14,6 of 17,35%,3 of 14,3 of 3,0 of 0,5 of 14,1 of 3,0 of 0
UFC Fight Night: Gane vs. Spivac,Volkan Oezdemir vs. Bogdan Guskov,Volkan Oezdemir,1,1,36 of 64,1 of 1,100%,1,0,1:23,26 of 46,56%,19 of 37,1 of 2,6 of 7,15 of 32,1 of 1,10 of 13
UFC Fight Night: Gane vs. Spivac,Volkan Oezdemir vs. Bogdan Guskov,Bogdan Guskov,1,0,10 of 27,0 of 0,---,0,0,0:00,8 of 25,32%,7 of 23,1 of 1,0 of 1,8 of 24,0 of 1,0 of 0
UFC Fight Night: Gane vs. Spivac,William Gomis vs. Yanis Ghemmouri,William Gomis,1,0,27 of 46,0 of 0,---,0,0,0:00,27 of 46,58%,3 of 12,0 of 6,24 of 28,27 of 46,0 of 0,0 of 0
UFC Fight Night: Gane vs. Spivac,William Gomis vs. Yanis Ghemmouri,William Gomis,2,0,19 of 34,0 of 0,---,2,0,0:55,14 of 27,51%,3 of 12,3 of 6,8 of 9,12 of 25,2 of 2,0 of 0
UFC Fight Night: Gane vs. Spivac,William Gomis vs. Yanis Ghemmouri,William Gomis,3,0,15 of 19,0 of 0,---,0,0,0:00,11 of 15,73%,4 of 6,3 of 3,4 of 6,8 of 11,3 of 4,0 of 0
UFC Fight Night: Gane vs. Spivac,William Gomis vs. Yanis Ghemmouri,Yanis Ghemmouri,1,0,16 of 39,0 of 0,---,0,0,0:00,16 of 39,41%,0 of 11,2 of 3,14 of 25,16 of 39,0 of 0,0 of 0
UFC Fight Night: Gane vs. Spivac,William Gomis vs. Yanis Ghemmouri,Yanis Ghemmouri,2,0,15 of 30,0 of 2,0%,0,0,1:32,8 of 22,36%,0 of 7,4 of 6,4 of 9,5 of 19,3 of 3,0 of 0
UFC Fight Night: Gane vs. Spivac,William Gomis vs. Yanis Ghemmouri,Yanis Ghemmouri,3,0,9 of 19,0 of 2,0%,0,0,1:10,4 of 12,33%,0 of 6,1 of 2,3 of 4,3 of 11,1 of 1,0 of 0
UFC Fight Night: Gane vs. Spivac,Morgan Charriere vs. Manolo Zecchini,Morgan Charriere,1,1,26 of 49,0 of 0,---,0,0,0:03,26 of 49,53%,16 of 37,7 of 8,3 of 4,25 of 47,1 of 1,0 of 1
UFC Fight Night: Gane vs. Spivac,Morgan Charriere vs. Manolo Zecchini,Manolo Zecchini,1,0,9 of 41,0 of 0,---,0,0,0:00,9 of 41,21%,5 of 30,1 of 4,3 of 7,9 of 41,0 of 0,0 of 0
UFC Fight Night: Gane vs. Spivac,Taylor Lapilus vs. Caolan Loughran,Taylor Lapilus,1,0,31 of 58,0 of 0,---,0,0,0:00,30 of 57,52%,25 of 51,5 of 6,0 of 0,27 of 52,2 of 4,1 of 1
UFC Fight Night: Gane vs. Spivac,Taylor Lapilus vs. Caolan Loughran,Taylor Lapilus,2,0,19 of 37,0 of 0,---,0,0,0:10,19 of 37,51%,9 of 25,6 of 8,4 of 4,16 of 32,3 of 5,0 of 0
UFC Fight Night: Gane vs. Spivac,Taylor Lapilus vs. Caolan Loughran,Taylor Lapilus,3,0,37 of 71,0 of 0,---,0,0,0:08,35 of 69,50%,25 of 57,7 of 9,3 of 3,33 of 66,2 of 3,0 of 0
UFC Fight Night: Gane vs. Spivac,Taylor Lapilus vs. Caolan Loughran,Caolan Loughran,1,0,20 of 58,1 of 2,50%,0,0,1:47,19 of 57,33%,11 of 44,7 of 10,1 of 3,17 of 53,1 of 3,1 of 1
UFC Fight Night: Gane vs. Spivac,Taylor Lapilus vs. Caolan Loughran,Caolan Loughran,2,0,28 of 53,1 of 1,100%,0,0,2:55,8 of 21,38%,5 of 14,2 of 6,1 of 1,7 of 20,1 of 1,0 of 0
UFC Fight Night: Gane vs. Spivac,Taylor Lapilus vs. Caolan Loughran,Caolan Loughran,3,0,22 of 55,0 of 8,0%,0,0,1:44,21 of 54,38%,12 of 42,4 of 7,5 of 5,20 of 52,1 of 2,0 of 0
UFC Fight Night: Gane vs. Spivac,Ange Loosa vs. Rhys McKee,Ange Loosa,1,0,34 of 74,1 of 2,50%,0,0,0:56,32 of 71,45%,15 of 46,12 of 20,5 of 5,23 of 55,7 of 13,2 of 3
UFC Fight Night: Gane vs. Spivac,Ange Loosa vs. Rhys McKee,Ange Loosa,2,0,66 of 102,3 of 3,100%,0,0,2:44,54 of 82,65%,46 of 71,6 of 8,2 of 3,13 of 26,25 of 36,16 of 20
UFC Fight Night: Gane vs. Spivac,Ange Loosa vs. Rhys McKee,Ange Loosa,3,0,24 of 44,2 of 5,40%,0,0,2:27,12 of 29,41%,10 of 27,1 of 1,1 of 1,9 of 22,0 of 2,3 of 5
UFC Fight Night: Gane vs. Spivac,Ange Loosa vs. Rhys McKee,Rhys McKee,1,0,30 of 79,0 of 0,---,0,0,0:01,29 of 78,37%,14 of 58,9 of 11,6 of 9,29 of 78,0 of 0,0 of 0
UFC Fight Night: Gane vs. Spivac,Ange Loosa vs. Rhys McKee,Rhys McKee,2,0,17 of 41,0 of 0,---,0,0,0:00,16 of 38,42%,9 of 30,4 of 5,3 of 3,16 of 38,0 of 0,0 of 0
UFC Fight Night: Gane vs. Spivac,Ange Loosa vs. Rhys McKee,Rhys McKee,3,0,43 of 78,0 of 0,---,0,0,0:04,32 of 67,47%,25 of 57,6 of 9,1 of 1,25 of 56,5 of 8,2 of 3
