Event,Date,Location,Fight,Fighter_A,Fighter_B,Bout,Method,Round,Time,Format,Referee,Details,Winner,Winner_Name,Time_Seconds,Time_Minutes,Round_Format,Unique_Fight_ID
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016","Boston, Massachusetts, USA",Rob Font vs. Joey Gomez,Rob Font,Joey Gomez,Bantamweight Bout,KO/TKO,2,4:13,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,A,Rob Font,253,4.216666666666667,3.0,"UFC Fight Night: Dillashaw vs CruzRob Font vs. Joey GomezJanuary 17, 2016"
UFC Fight Night: Dillashaw vs Cruz,"January 17, 2016","Boston, Massachusetts, USA",Francimar Barroso vs. Elvis Mutapcic,Francimar Barroso,Elvis Mutapcic,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Rita,David Ginsberg 27 - 30. Sal D'amato 28 - 29. Chris Lee 27 - 30.,A,Francimar Barroso,300,5.0,3.0,"UFC Fight Night: Dillashaw vs CruzFrancimar Barroso vs. Elvis MutapcicJanuary 17, 2016"
UFC 195: Lawler vs Condit,"January 02, 2016","Las Vegas, Nevada, USA",Robbie Lawler vs. Carlos Condit,Robbie Lawler,Carlos Condit,UFC Welterweight Title Bout,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,Derek Cleary 47 - 48. Tony Weeks 48 - 47. Chris Lee 47 - 48.,A,Robbie Lawler,300,5.0,5.0,"UFC 195: Lawler vs ConditRobbie Lawler vs. Carlos ConditJanuary 02, 2016"
UFC 195: Lawler vs Condit,"January 02, 2016","Las Vegas, Nevada, USA",Stipe Miocic vs. Andrei Arlovski,Stipe Miocic,Andrei Arlovski,Heavyweight Bout,KO/TKO,1,0:54,3 Rnd (5-5-5),Herb Dean,Punch to Head In Clinch,A,Stipe Miocic,54,0.9,3.0,"UFC 195: Lawler vs ConditStipe Miocic vs. Andrei ArlovskiJanuary 02, 2016"
UFC 195: Lawler vs Condit,"January 02, 2016","Las Vegas, Nevada, USA",Lorenz Larkin vs. Albert Tumenov,Lorenz Larkin,Albert Tumenov,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Derek Cleary 28 - 29. Adalaide Byrd 29 - 28. Junichiro Kamijo 28 - 29.,B,Albert Tumenov,300,5.0,3.0,"UFC 195: Lawler vs ConditLorenz Larkin vs. Albert TumenovJanuary 02, 2016"
UFC 195: Lawler vs Condit,"January 02, 2016","Las Vegas, Nevada, USA",Diego Brandao vs. Brian Ortega,Diego Brandao,Brian Ortega,Featherweight Bout,Submission,3,1:37,3 Rnd (5-5-5),John McCarthy,Triangle Choke On Ground,B,Brian Ortega,97,1.6166666666666667,3.0,"UFC 195: Lawler vs ConditDiego Brandao vs. Brian OrtegaJanuary 02, 2016"
UFC 195: Lawler vs Condit,"January 02, 2016","Las Vegas, Nevada, USA",Abel Trujillo vs. Tony Sims,Abel Trujillo,Tony Sims,Lightweight Bout,Submission,1,3:18,3 Rnd (5-5-5),Herb Dean,Guillotine Choke On Ground,A,Abel Trujillo,198,3.3,3.0,"UFC 195: Lawler vs ConditAbel Trujillo vs. Tony SimsJanuary 02, 2016"
UFC 195: Lawler vs Condit,"January 02, 2016","Las Vegas, Nevada, USA",Michael McDonald vs. Masanori Kanehara,Michael McDonald,Masanori Kanehara,Bantamweight Bout,Submission,2,2:09,3 Rnd (5-5-5),Mario Yamasaki,Rear Naked Choke,A,Michael McDonald,129,2.15,3.0,"UFC 195: Lawler vs ConditMichael McDonald vs. Masanori KaneharaJanuary 02, 2016"
UFC 195: Lawler vs Condit,"January 02, 2016","Las Vegas, Nevada, USA",Kyle Noke vs. Alex Morono,Kyle Noke,Alex Morono,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),John McCarthy,Sal D'amato 28 - 29. Patricia Morse-Jarman 30 - 27. Chris Lee 28 - 29.,B,Alex Morono,300,5.0,3.0,"UFC 195: Lawler vs ConditKyle Noke vs. Alex MoronoJanuary 02, 2016"
UFC 195: Lawler vs Condit,"January 02, 2016","Las Vegas, Nevada, USA",Justine Kish vs. Nina Nunes,Justine Kish,Nina Nunes,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Marcos Rosales 28 - 29. Junichiro Kamijo 27 - 30. Glenn Trowbridge 27 - 30.,A,Justine Kish,300,5.0,3.0,"UFC 195: Lawler vs ConditJustine Kish vs. Nina NunesJanuary 02, 2016"
UFC 195: Lawler vs Condit,"January 02, 2016","Las Vegas, Nevada, USA",Scott Holtzman vs. Drew Dober,Scott Holtzman,Drew Dober,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Adalaide Byrd 28 - 29. Sal D'amato 28 - 29. Tony Weeks 28 - 29.,B,Drew Dober,300,5.0,3.0,"UFC 195: Lawler vs ConditScott Holtzman vs. Drew DoberJanuary 02, 2016"
UFC 195: Lawler vs Condit,"January 02, 2016","Las Vegas, Nevada, USA",Dustin Poirier vs. Joe Duffy,Dustin Poirier,Joe Duffy,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Patricia Morse-Jarman 26 - 30. Junichiro Kamijo 27 - 30. Glenn Trowbridge 27 - 30.,A,Dustin Poirier,300,5.0,3.0,"UFC 195: Lawler vs ConditDustin Poirier vs. Joe DuffyJanuary 02, 2016"
UFC 195: Lawler vs Condit,"January 02, 2016","Las Vegas, Nevada, USA",Joe Soto vs. Michinori Tanaka,Joe Soto,Michinori Tanaka,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Tony Weeks 28 - 29. Adalaide Byrd 29 - 28. Chris Lee 28 - 29.,B,Michinori Tanaka,300,5.0,3.0,"UFC 195: Lawler vs ConditJoe Soto vs. Michinori TanakaJanuary 02, 2016"
UFC 195: Lawler vs Condit,"January 02, 2016","Las Vegas, Nevada, USA",Sheldon Westcott vs. Edgar Garcia,Sheldon Westcott,Edgar Garcia,Welterweight Bout,KO/TKO,1,3:12,3 Rnd (5-5-5),Chris Tognoni,Punches to Head From Back Control,A,Sheldon Westcott,192,3.2,3.0,"UFC 195: Lawler vs ConditSheldon Westcott vs. Edgar GarciaJanuary 02, 2016"
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015","Orlando, Florida, USA",Rafael Dos Anjos vs. Donald Cerrone,Rafael Dos Anjos,Donald Cerrone,UFC Lightweight Title Bout,KO/TKO,1,1:06,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head On Ground,A,Rafael Dos Anjos,66,1.1,5.0,"UFC on FOX: Dos Anjos vs. Cowboy 2Rafael Dos Anjos vs. Donald CerroneDecember 19, 2015"
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015","Orlando, Florida, USA",Junior Dos Santos vs. Alistair Overeem,Junior Dos Santos,Alistair Overeem,Heavyweight Bout,KO/TKO,2,4:43,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head At Distance,B,Alistair Overeem,283,4.716666666666667,3.0,"UFC on FOX: Dos Anjos vs. Cowboy 2Junior Dos Santos vs. Alistair OvereemDecember 19, 2015"
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015","Orlando, Florida, USA",Michael Johnson vs. Nate Diaz,Michael Johnson,Nate Diaz,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jorge Alonso,Derek Cleary 28 - 29. Chris Lee 28 - 29. Roy Silbert 28 - 29.,B,Nate Diaz,300,5.0,3.0,"UFC on FOX: Dos Anjos vs. Cowboy 2Michael Johnson vs. Nate DiazDecember 19, 2015"
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015","Orlando, Florida, USA",Randa Markos vs. Karolina Kowalkiewicz,Randa Markos,Karolina Kowalkiewicz,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Derek Cleary 28 - 29. Roy Silbert 28 - 29. Don Balas 27 - 30.,B,Karolina Kowalkiewicz,300,5.0,3.0,"UFC on FOX: Dos Anjos vs. Cowboy 2Randa Markos vs. Karolina KowalkiewiczDecember 19, 2015"
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015","Orlando, Florida, USA",Charles Oliveira vs. Myles Jury,Charles Oliveira,Myles Jury,Featherweight Bout,Submission,1,3:05,3 Rnd (5-5-5),John Hosegood,Guillotine Choke Standing,A,Charles Oliveira,185,3.0833333333333335,3.0,"UFC on FOX: Dos Anjos vs. Cowboy 2Charles Oliveira vs. Myles JuryDecember 19, 2015"
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015","Orlando, Florida, USA",CB Dollaway vs. Nate Marquardt,CB Dollaway,Nate Marquardt,Middleweight Bout,KO/TKO,2,0:28,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,B,Nate Marquardt,28,0.4666666666666667,3.0,"UFC on FOX: Dos Anjos vs. Cowboy 2CB Dollaway vs. Nate MarquardtDecember 19, 2015"
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015","Orlando, Florida, USA",Sarah Kaufman vs. Valentina Shevchenko,Sarah Kaufman,Valentina Shevchenko,Women's Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Barry Luxenberg 29 - 28. Don Balas 28 - 29. Hector Gomez 28 - 29.,B,Valentina Shevchenko,300,5.0,3.0,"UFC on FOX: Dos Anjos vs. Cowboy 2Sarah Kaufman vs. Valentina ShevchenkoDecember 19, 2015"
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015","Orlando, Florida, USA",Josh Samman vs. Tamdan McCrory,Josh Samman,Tamdan McCrory,Middleweight Bout,Submission,3,4:10,3 Rnd (5-5-5),Jorge Alonso,Triangle Choke From Bottom Guard,B,Tamdan McCrory,250,4.166666666666667,3.0,"UFC on FOX: Dos Anjos vs. Cowboy 2Josh Samman vs. Tamdan McCroryDecember 19, 2015"
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015","Orlando, Florida, USA",Nik Lentz vs. Danny Castillo,Nik Lentz,Danny Castillo,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),John Hosegood,Barry Luxenberg 29 - 28. Derek Cleary 28 - 29. Chris Lee 27 - 30.,A,Nik Lentz,300,5.0,3.0,"UFC on FOX: Dos Anjos vs. Cowboy 2Nik Lentz vs. Danny CastilloDecember 19, 2015"
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015","Orlando, Florida, USA",Kamaru Usman vs. Leon Edwards,Kamaru Usman,Leon Edwards,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Don Balas 28 - 29. Barry Luxenberg 27 - 30. Sal D'amato 28 - 29.,A,Kamaru Usman,300,5.0,3.0,"UFC on FOX: Dos Anjos vs. Cowboy 2Kamaru Usman vs. Leon EdwardsDecember 19, 2015"
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015","Orlando, Florida, USA",Hayder Hassan vs. Vicente Luque,Hayder Hassan,Vicente Luque,Welterweight Bout,Submission,1,2:13,3 Rnd (5-5-5),Jorge Alonso,Anaconda Choke After Drop to Guard,B,Vicente Luque,133,2.216666666666667,3.0,"UFC on FOX: Dos Anjos vs. Cowboy 2Hayder Hassan vs. Vicente LuqueDecember 19, 2015"
UFC on FOX: Dos Anjos vs. Cowboy 2,"December 19, 2015","Orlando, Florida, USA",Francis Ngannou vs. Luis Henrique,Francis Ngannou,Luis Henrique,Heavyweight Bout,KO/TKO,2,2:53,3 Rnd (5-5-5),John Hosegood,Punch to Head At Distance,A,Francis Ngannou,173,2.8833333333333333,3.0,"UFC on FOX: Dos Anjos vs. Cowboy 2Francis Ngannou vs. Luis HenriqueDecember 19, 2015"
UFC 194: Aldo vs McGregor,"December 12, 2015","Las Vegas, Nevada, USA",Jose Aldo vs. Conor McGregor,Jose Aldo,Conor McGregor,UFC Featherweight Title Bout,KO/TKO,1,0:13,5 Rnd (5-5-5-5-5),John McCarthy,Punch to Head At Distance,B,Conor McGregor,13,0.21666666666666667,5.0,"UFC 194: Aldo vs McGregorJose Aldo vs. Conor McGregorDecember 12, 2015"
UFC 194: Aldo vs McGregor,"December 12, 2015","Las Vegas, Nevada, USA",Chris Weidman vs. Luke Rockhold,Chris Weidman,Luke Rockhold,UFC Middleweight Title Bout,KO/TKO,4,3:12,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head From Half Guard,B,Luke Rockhold,192,3.2,5.0,"UFC 194: Aldo vs McGregorChris Weidman vs. Luke RockholdDecember 12, 2015"
UFC 194: Aldo vs McGregor,"December 12, 2015","Las Vegas, Nevada, USA",Jacare Souza vs. Yoel Romero,Jacare Souza,Yoel Romero,Middleweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,Glenn Trowbridge 27 - 29. Lester Griffin 29 - 28. Tony Weeks 28 - 29.,B,Yoel Romero,300,5.0,3.0,"UFC 194: Aldo vs McGregorJacare Souza vs. Yoel RomeroDecember 12, 2015"
UFC 194: Aldo vs McGregor,"December 12, 2015","Las Vegas, Nevada, USA",Demian Maia vs. Gunnar Nelson,Demian Maia,Gunnar Nelson,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,Adalaide Byrd 26 - 30. Derek Cleary 25 - 30. Sal D'amato 25 - 30.,A,Demian Maia,300,5.0,3.0,"UFC 194: Aldo vs McGregorDemian Maia vs. Gunnar NelsonDecember 12, 2015"
UFC 194: Aldo vs McGregor,"December 12, 2015","Las Vegas, Nevada, USA",Max Holloway vs. Jeremy Stephens,Max Holloway,Jeremy Stephens,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Details:,Chris Lee 27 - 30. Glenn Trowbridge 27 - 30. Junichiro Kamijo 28 - 29.,A,Max Holloway,300,5.0,3.0,"UFC 194: Aldo vs McGregorMax Holloway vs. Jeremy StephensDecember 12, 2015"
UFC 194: Aldo vs McGregor,"December 12, 2015","Las Vegas, Nevada, USA",Urijah Faber vs. Frankie Saenz,Urijah Faber,Frankie Saenz,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,28 - 29. 28 - 29. 27 - 30.,A,Urijah Faber,300,5.0,3.0,"UFC 194: Aldo vs McGregorUrijah Faber vs. Frankie SaenzDecember 12, 2015"
UFC 194: Aldo vs McGregor,"December 12, 2015","Las Vegas, Nevada, USA",Tecia Torres vs. Jocelyn Jones-Lybarger,Tecia Torres,Jocelyn Jones-Lybarger,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Sal D'amato 27 - 30. Chris Lee 27 - 30. Glenn Trowbridge 27 - 30.,A,Tecia Torres,300,5.0,3.0,"UFC 194: Aldo vs McGregorTecia Torres vs. Jocelyn Jones-LybargerDecember 12, 2015"
UFC 194: Aldo vs McGregor,"December 12, 2015","Las Vegas, Nevada, USA",Warlley Alves vs. Colby Covington,Warlley Alves,Colby Covington,Welterweight Bout,Submission,1,1:26,3 Rnd (5-5-5),Mark Smith,Guillotine Choke Standing,A,Warlley Alves,86,1.4333333333333333,3.0,"UFC 194: Aldo vs McGregorWarlley Alves vs. Colby CovingtonDecember 12, 2015"
UFC 194: Aldo vs McGregor,"December 12, 2015","Las Vegas, Nevada, USA",Leonardo Santos vs. Kevin Lee,Leonardo Santos,Kevin Lee,Lightweight Bout,KO/TKO,1,3:26,3 Rnd (5-5-5),John McCarthy,Punches to Head At Distance,A,Leonardo Santos,206,3.433333333333333,3.0,"UFC 194: Aldo vs McGregorLeonardo Santos vs. Kevin LeeDecember 12, 2015"
UFC 194: Aldo vs McGregor,"December 12, 2015","Las Vegas, Nevada, USA",Joe Proctor vs. Magomed Mustafaev,Joe Proctor,Magomed Mustafaev,Lightweight Bout,KO/TKO,1,1:54,3 Rnd (5-5-5),Mark Smith,Knee to Body In Clinch,B,Magomed Mustafaev,114,1.9,3.0,"UFC 194: Aldo vs McGregorJoe Proctor vs. Magomed MustafaevDecember 12, 2015"
UFC 194: Aldo vs McGregor,"December 12, 2015","Las Vegas, Nevada, USA",John Makdessi vs. Yancy Medeiros,John Makdessi,Yancy Medeiros,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,Lester Griffin 28 - 29. Sal D'amato 29 - 28. Marcos Rosales 28 - 29.,B,Yancy Medeiros,300,5.0,3.0,"UFC 194: Aldo vs McGregorJohn Makdessi vs. Yancy MedeirosDecember 12, 2015"
UFC 194: Aldo vs McGregor,"December 12, 2015","Las Vegas, Nevada, USA",Court McGee vs. Marcio Alexandre Junior,Court McGee,Marcio Alexandre Junior,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Tony Weeks 27 - 30. Derek Cleary 28 - 29. Junichiro Kamijo 28 - 29.,A,Court McGee,300,5.0,3.0,"UFC 194: Aldo vs McGregorCourt McGee vs. Marcio Alexandre JuniorDecember 12, 2015"
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015","Las Vegas, Nevada, USA",Frankie Edgar vs. Chad Mendes,Frankie Edgar,Chad Mendes,Featherweight Bout,KO/TKO,1,2:28,5 Rnd (5-5-5-5-5),John McCarthy,Punch to Head In Clinch,A,Frankie Edgar,148,2.466666666666667,5.0,"The Ultimate Fighter: Team McGregor vs. Team Faber FinaleFrankie Edgar vs. Chad MendesDecember 11, 2015"
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015","Las Vegas, Nevada, USA",Artem Lobov vs. Ryan Hall,Artem Lobov,Ryan Hall,Ultimate Fighter 22 Lightweight Tournament Title Bout,Decision - Unanimous,3,5:00,3 Rnd + OT (5-5-5-5),Herb Dean,Sal D'amato 27 - 30. Derek Cleary 26 - 30. Junichiro Kamijo 26 - 30.,B,Ryan Hall,300,5.0,3.0,"The Ultimate Fighter: Team McGregor vs. Team Faber FinaleArtem Lobov vs. Ryan HallDecember 11, 2015"
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015","Las Vegas, Nevada, USA",Edson Barboza vs. Tony Ferguson,Edson Barboza,Tony Ferguson,Lightweight Bout,Submission,2,2:54,3 Rnd (5-5-5),John McCarthy,D'Arce Choke On Ground,B,Tony Ferguson,174,2.9,3.0,"The Ultimate Fighter: Team McGregor vs. Team Faber FinaleEdson Barboza vs. Tony FergusonDecember 11, 2015"
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015","Las Vegas, Nevada, USA",Joe Lauzon vs. Evan Dunham,Joe Lauzon,Evan Dunham,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Sal D'amato 26 - 30. Derek Cleary 27 - 30. Glenn Trowbridge 26 - 30.,B,Evan Dunham,300,5.0,3.0,"The Ultimate Fighter: Team McGregor vs. Team Faber FinaleJoe Lauzon vs. Evan DunhamDecember 11, 2015"
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015","Las Vegas, Nevada, USA",Tatsuya Kawajiri vs. Jason Knight,Tatsuya Kawajiri,Jason Knight,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,Junichiro Kamijo 27 - 30. Chris Lee 27 - 30. Marcos Rosales 27 - 30.,A,Tatsuya Kawajiri,300,5.0,3.0,"The Ultimate Fighter: Team McGregor vs. Team Faber FinaleTatsuya Kawajiri vs. Jason KnightDecember 11, 2015"
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015","Las Vegas, Nevada, USA",Julian Erosa vs. Marcin Wrzosek,Julian Erosa,Marcin Wrzosek,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,Sal D'amato 28 - 29. Derek Cleary 29 - 28. Dave Hagen 28 - 29.,A,Julian Erosa,300,5.0,3.0,"The Ultimate Fighter: Team McGregor vs. Team Faber FinaleJulian Erosa vs. Marcin WrzosekDecember 11, 2015"
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015","Las Vegas, Nevada, USA",Gabriel Gonzaga vs. Konstantin Erokhin,Gabriel Gonzaga,Konstantin Erokhin,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Roy Silbert 27 - 30. Glenn Trowbridge 27 - 30. Dave Hagen 28 - 30.,A,Gabriel Gonzaga,300,5.0,3.0,"The Ultimate Fighter: Team McGregor vs. Team Faber FinaleGabriel Gonzaga vs. Konstantin ErokhinDecember 11, 2015"
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015","Las Vegas, Nevada, USA",Ryan LaFlare vs. Mike Pierce,Ryan LaFlare,Mike Pierce,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Lester Griffin 27 - 30. Junichiro Kamijo 28 - 29. Marcos Rosales 28 - 29.,A,Ryan LaFlare,300,5.0,3.0,"The Ultimate Fighter: Team McGregor vs. Team Faber FinaleRyan LaFlare vs. Mike PierceDecember 11, 2015"
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015","Las Vegas, Nevada, USA",Joby Sanchez vs. Geane Herrera,Joby Sanchez,Geane Herrera,Flyweight Bout,KO/TKO,2,4:28,3 Rnd (5-5-5),Chris Tognoni,Punch to Head In Clinch,B,Geane Herrera,268,4.466666666666667,3.0,"The Ultimate Fighter: Team McGregor vs. Team Faber FinaleJoby Sanchez vs. Geane HerreraDecember 11, 2015"
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"December 11, 2015","Las Vegas, Nevada, USA",Chris Gruetzemacher vs. Abner Lloveras,Chris Gruetzemacher,Abner Lloveras,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Lester Griffin 28 - 29. Dave Hagen 28 - 29. Roy Silbert 28 - 29.,A,Chris Gruetzemacher,300,5.0,3.0,"The Ultimate Fighter: Team McGregor vs. Team Faber FinaleChris Gruetzemacher vs. Abner LloverasDecember 11, 2015"
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015","Las Vegas, Nevada, USA",Rose Namajunas vs. Paige VanZant,Rose Namajunas,Paige VanZant,Women's Strawweight Bout,Submission,5,2:25,5 Rnd (5-5-5-5-5),Herb Dean,Rear Naked Choke,A,Rose Namajunas,145,2.4166666666666665,5.0,"UFC Fight Night: Namajunas vs. VanZantRose Namajunas vs. Paige VanZantDecember 10, 2015"
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015","Las Vegas, Nevada, USA",Jim Miller vs. Michael Chiesa,Jim Miller,Michael Chiesa,Lightweight Bout,Submission,2,2:57,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke,B,Michael Chiesa,177,2.95,3.0,"UFC Fight Night: Namajunas vs. VanZantJim Miller vs. Michael ChiesaDecember 10, 2015"
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015","Las Vegas, Nevada, USA",Sage Northcutt vs. Cody Pfister,Sage Northcutt,Cody Pfister,Lightweight Bout,Submission,2,0:41,3 Rnd (5-5-5),Mark Smith,Guillotine Choke On Ground,A,Sage Northcutt,41,0.6833333333333333,3.0,"UFC Fight Night: Namajunas vs. VanZantSage Northcutt vs. Cody PfisterDecember 10, 2015"
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015","Las Vegas, Nevada, USA",Elias Theodorou vs. Thiago Santos,Elias Theodorou,Thiago Santos,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Junichiro Kamijo 28 - 29. Dave Hagen 27 - 29. Glenn Trowbridge 27 - 29.,B,Thiago Santos,300,5.0,3.0,"UFC Fight Night: Namajunas vs. VanZantElias Theodorou vs. Thiago SantosDecember 10, 2015"
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015","Las Vegas, Nevada, USA",Tim Means vs. John Howard,Tim Means,John Howard,Welterweight Bout,KO/TKO,2,0:21,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,A,Tim Means,21,0.35,3.0,"UFC Fight Night: Namajunas vs. VanZantTim Means vs. John HowardDecember 10, 2015"
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015","Las Vegas, Nevada, USA",Omari Akhmedov vs. Sergio Moraes,Omari Akhmedov,Sergio Moraes,Welterweight Bout,KO/TKO,3,2:18,3 Rnd (5-5-5),Jason Herzog,Punches to Head At Distance,B,Sergio Moraes,138,2.3,3.0,"UFC Fight Night: Namajunas vs. VanZantOmari Akhmedov vs. Sergio MoraesDecember 10, 2015"
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015","Las Vegas, Nevada, USA",Aljamain Sterling vs. Johnny Eduardo,Aljamain Sterling,Johnny Eduardo,Bantamweight Bout,Submission,2,4:18,3 Rnd (5-5-5),Marc Goddard,Guillotine Choke On Ground,A,Aljamain Sterling,258,4.3,3.0,"UFC Fight Night: Namajunas vs. VanZantAljamain Sterling vs. Johnny EduardoDecember 10, 2015"
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015","Las Vegas, Nevada, USA",Santiago Ponzinibbio vs. Andreas Stahl,Santiago Ponzinibbio,Andreas Stahl,Welterweight Bout,KO/TKO,1,4:25,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,A,Santiago Ponzinibbio,265,4.416666666666667,3.0,"UFC Fight Night: Namajunas vs. VanZantSantiago Ponzinibbio vs. Andreas StahlDecember 10, 2015"
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015","Las Vegas, Nevada, USA",Danny Roberts vs. Nathan Coy,Danny Roberts,Nathan Coy,Welterweight Bout,Submission,1,2:46,3 Rnd (5-5-5),Jason Herzog,Triangle Choke From Bottom Guard Technical Submission,A,Danny Roberts,166,2.7666666666666666,3.0,"UFC Fight Night: Namajunas vs. VanZantDanny Roberts vs. Nathan CoyDecember 10, 2015"
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015","Las Vegas, Nevada, USA",Zubaira Tukhugov vs. Phillipe Nover,Zubaira Tukhugov,Phillipe Nover,Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 29 - 28. Dave Hagen 27 - 30. Roy Silbert 27 - 30.,A,Zubaira Tukhugov,300,5.0,3.0,"UFC Fight Night: Namajunas vs. VanZantZubaira Tukhugov vs. Phillipe NoverDecember 10, 2015"
UFC Fight Night: Namajunas vs. VanZant,"December 10, 2015","Las Vegas, Nevada, USA",Kailin Curran vs. Emily Kagan,Kailin Curran,Emily Kagan,Women's Strawweight Bout,Submission,2,4:13,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke,A,Kailin Curran,253,4.216666666666667,3.0,"UFC Fight Night: Namajunas vs. VanZantKailin Curran vs. Emily KaganDecember 10, 2015"
UFC Fight Night: Henderson vs Masvidal,"November 28, 2015","Seoul, South Korea",Benson Henderson vs. Jorge Masvidal,Benson Henderson,Jorge Masvidal,Welterweight Bout,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Barry Foley 47 - 48. Mark Craig 48 - 47. Charlie Keech 46 - 49.,A,Benson Henderson,300,5.0,5.0,"UFC Fight Night: Henderson vs MasvidalBenson Henderson vs. Jorge MasvidalNovember 28, 2015"
