Event,Date,Location,Fight,Fighter_A,Fighter_B,Bout,Method,Round,Time,Format,Referee,Details,Winner,Winner_Name,Event_Link
UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Nick Maximov vs. Jacob Malkoun,Nick Maximov,Jacob Malkoun,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 27 - 30. Sal D'amato 27 - 30. Chris Lee 27 - 30.,B,Jacob Malkoun,http://www.ufcstats.com/event-details/49c29e57d4e2be6f
UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Piera Rodriguez vs. Sam Hughes,Piera Rodriguez,Sam Hughes,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Mike Bell 28 - 29. Adalaide Byrd 28 - 29. Sal D'amato 28 - 29.,A,Piera Rodriguez,http://www.ufcstats.com/event-details/49c29e57d4e2be6f
UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Tatsuro Taira vs. CJ Vergara,Tatsuro Taira,CJ Vergara,Flyweight Bout,Submission,2,4:19,3 Rnd (5-5-5),Kerry Hatley,Armbar From Back Control,A,Tatsuro Taira,http://www.ufcstats.com/event-details/49c29e57d4e2be6f
UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Misha Cirkunov vs. Alonzo Menifield,Misha Cirkunov,Alonzo Menifield,Light Heavyweight Bout,KO/TKO,1,1:28,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,B,Alonzo Menifield,http://www.ufcstats.com/event-details/49c29e57d4e2be6f
UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",John Castaneda vs. Daniel Santos,John Castaneda,Daniel Santos,Catch Weight Bout,KO/TKO,2,4:28,3 Rnd (5-5-5),Keith Peterson,Knee to Head In Clinch,B,Daniel Santos,http://www.ufcstats.com/event-details/4f670b7972fa0a2e
UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Julija Stoliarenko vs. Chelsea Chandler,Julija Stoliarenko,Chelsea Chandler,Catch Weight Bout,KO/TKO,1,4:15,3 Rnd (5-5-5),Jacob Montalvo,Punches to Head From Mount,B,Chelsea Chandler,http://www.ufcstats.com/event-details/4f670b7972fa0a2e
UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Guido Cannetti vs. Randy Costa,Guido Cannetti,Randy Costa,Bantamweight Bout,Submission,1,1:04,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,A,Guido Cannetti,http://www.ufcstats.com/event-details/4f670b7972fa0a2e
UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Joaquim Silva vs. Jesse Ronson,Joaquim Silva,Jesse Ronson,Lightweight Bout,KO/TKO,2,3:08,3 Rnd (5-5-5),Keith Peterson,Flying Knee Head,A,Joaquim Silva,http://www.ufcstats.com/event-details/4f670b7972fa0a2e
UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Krzysztof Jotko vs. Brendan Allen,Krzysztof Jotko,Brendan Allen,Middleweight Bout,Submission,1,4:17,3 Rnd (5-5-5),Kerry Hatley,Rear Naked Choke,B,Brendan Allen,http://www.ufcstats.com/event-details/4f670b7972fa0a2e
UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Ilir Latifi vs. Aleksei Oleinik,Ilir Latifi,Aleksei Oleinik,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jacob Montalvo,Tony Weeks 27 - 30. Anthony Maness 27 - 30. Sal D'amato 27 - 30.,A,Ilir Latifi,http://www.ufcstats.com/event-details/4f670b7972fa0a2e
UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Sodiq Yusuff vs. Don Shainis,Sodiq Yusuff,Don Shainis,Featherweight Bout,Submission,1,0:30,3 Rnd (5-5-5),Jacob Montalvo,Guillotine Choke After Drop to Guard,A,Sodiq Yusuff,http://www.ufcstats.com/event-details/4f670b7972fa0a2e
UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Mackenzie Dern vs. Yan Xiaonan,Mackenzie Dern,Yan Xiaonan,Women's Strawweight Bout,Decision - Majority,5,5:00,5 Rnd (5-5-5-5-5),Chris Tognoni,Junichiro Kamijo 47 - 48. Sal D'amato 47 - 48. Mike Bell 47 - 47.,B,Yan Xiaonan,http://www.ufcstats.com/event-details/4f670b7972fa0a2e
UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Raoni Barcelos vs. Trevin Jones,Raoni Barcelos,Trevin Jones,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Junichiro Kamijo 25 - 30. Doug Crosby 27 - 30. Mike Bell 27 - 30.,A,Raoni Barcelos,http://www.ufcstats.com/event-details/4f670b7972fa0a2e
UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Mike Davis vs. Viacheslav Borshchev,Mike Davis,Viacheslav Borshchev,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Doug Crosby 28 - 29. Adalaide Byrd 26 - 30. Mike Bell 26 - 30.,A,Mike Davis,http://www.ufcstats.com/event-details/4f670b7972fa0a2e
UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Randy Brown vs. Francisco Trinaldo,Randy Brown,Francisco Trinaldo,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Chris Lee 28 - 29. Sal D'amato 28 - 29. Eric Colon 28 - 29.,A,Randy Brown,http://www.ufcstats.com/event-details/4f670b7972fa0a2e
UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Tony Gravely vs. Javid Basharat,Tony Gravely,Javid Basharat,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Chris Lee 28 - 29. Anthony Maness 28 - 29. Junichiro Kamijo 28 - 29.,B,Javid Basharat,http://www.ufcstats.com/event-details/8d477c3fbe001f9d
UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Andre Fili vs. Bill Algeo,Andre Fili,Bill Algeo,Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Keith Peterson,Chris Lee 29 - 28. Sal D'amato 28 - 29. Derek Cleary 28 - 29.,A,Andre Fili,http://www.ufcstats.com/event-details/8d477c3fbe001f9d
UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Chidi Njokuani vs. Gregory Rodrigues,Chidi Njokuani,Gregory Rodrigues,Middleweight Bout,KO/TKO,2,1:27,3 Rnd (5-5-5),Mark Smith,Punches to Head From Half Guard,B,Gregory Rodrigues,http://www.ufcstats.com/event-details/8d477c3fbe001f9d
UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Mariya Agapova vs. Gillian Robertson,Mariya Agapova,Gillian Robertson,Women's Flyweight Bout,Submission,2,2:19,3 Rnd (5-5-5),Mark Smith,Rear Naked Choke,B,Gillian Robertson,http://www.ufcstats.com/event-details/8d477c3fbe001f9d
UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Tanner Boser vs. Rodrigo Nascimento,Tanner Boser,Rodrigo Nascimento,Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,Junichiro Kamijo 27 - 30. Doug Crosby 29 - 28. Adalaide Byrd 28 - 29.,B,Rodrigo Nascimento,http://www.ufcstats.com/event-details/8d477c3fbe001f9d
UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Damon Jackson vs. Pat Sabatini,Damon Jackson,Pat Sabatini,Featherweight Bout,KO/TKO,1,1:09,3 Rnd (5-5-5),Keith Peterson,Punches to Head From Back Control,A,Damon Jackson,http://www.ufcstats.com/event-details/8d477c3fbe001f9d
UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Joe Pyfer vs. Alen Amedovski,Joe Pyfer,Alen Amedovski,Middleweight Bout,KO/TKO,1,3:55,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,A,Joe Pyfer,http://www.ufcstats.com/event-details/8d477c3fbe001f9d
UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Anthony Hernandez vs. Marc-Andre Barriault,Anthony Hernandez,Marc-Andre Barriault,Middleweight Bout,Submission,3,1:53,3 Rnd (5-5-5),Herb Dean,Arm Triangle From Mount,A,Anthony Hernandez,http://www.ufcstats.com/event-details/8d477c3fbe001f9d
UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Trevin Giles vs. Louis Cosce,Trevin Giles,Louis Cosce,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Anthony Maness 27 - 30. Chris Lee 28 - 29. Junichiro Kamijo 28 - 29.,A,Trevin Giles,http://www.ufcstats.com/event-details/8d477c3fbe001f9d
UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Denise Gomes vs. Loma Lookboonmee,Denise Gomes,Loma Lookboonmee,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 27 - 30. Sal D'amato 27 - 30. Derek Cleary 28 - 29.,B,Loma Lookboonmee,http://www.ufcstats.com/event-details/8d477c3fbe001f9d
UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Trey Ogden vs. Daniel Zellhuber,Trey Ogden,Daniel Zellhuber,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Doug Crosby 27 - 30. Junichiro Kamijo 27 - 30. Chris Lee 28 - 29.,A,Trey Ogden,http://www.ufcstats.com/event-details/8d477c3fbe001f9d
UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Cory Sandhagen vs. Song Yadong,Cory Sandhagen,Song Yadong,Bantamweight Bout,TKO - Doctor's Stoppage,4,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Cut,A,Cory Sandhagen,http://www.ufcstats.com/event-details/8d477c3fbe001f9d
UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Nikolas Motta vs. Cameron VanCamp,Nikolas Motta,Cameron VanCamp,Lightweight Bout,KO/TKO,1,3:49,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,A,Nikolas Motta,http://www.ufcstats.com/event-details/8d477c3fbe001f9d
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Nate Diaz vs. Tony Ferguson,Nate Diaz,Tony Ferguson,Welterweight Bout,Submission,4,2:52,5 Rnd (5-5-5-5-5),Marc Goddard,Guillotine Choke From Bottom Guard,A,Nate Diaz,http://www.ufcstats.com/event-details/93bf96be327fcd98
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Norma Dumont vs. Danyelle Wolf,Norma Dumont,Danyelle Wolf,Women's Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Doug Crosby 27 - 30. Junichiro Kamijo 27 - 30. Sal D'amato 26 - 30.,A,Norma Dumont,http://www.ufcstats.com/event-details/93bf96be327fcd98
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Darian Weeks vs. Yohan Lainesse,Darian Weeks,Yohan Lainesse,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mike Beltran,Mike Bell 28 - 29. Ron McCarthy 29 - 28. Tony Weeks 28 - 29.,B,Yohan Lainesse,http://www.ufcstats.com/event-details/93bf96be327fcd98
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Hakeem Dawodu vs. Julian Erosa,Hakeem Dawodu,Julian Erosa,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Doug Crosby 27 - 30. Sal D'amato 27 - 30. Junichiro Kamijo 27 - 30.,B,Julian Erosa,http://www.ufcstats.com/event-details/93bf96be327fcd98
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Jailton Almeida vs. Anton Turkalj,Jailton Almeida,Anton Turkalj,Catch Weight Bout,Submission,1,4:27,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke,A,Jailton Almeida,http://www.ufcstats.com/event-details/93bf96be327fcd98
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Melissa Martinez vs. Elise Reed,Melissa Martinez,Elise Reed,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Sal D'amato 28 - 29. Adalaide Byrd 28 - 29. Junichiro Kamijo 28 - 29.,B,Elise Reed,http://www.ufcstats.com/event-details/93bf96be327fcd98
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Chad Anheliger vs. Alatengheili,Chad Anheliger,Alatengheili,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell 27 - 30. Chris Lee 27 - 30. Ron McCarthy 27 - 30.,B,Alatengheili,http://www.ufcstats.com/event-details/93bf96be327fcd98
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Li Jingliang vs. Daniel Rodriguez,Li Jingliang,Daniel Rodriguez,Catch Weight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29. Ron McCarthy 29 - 28. Doug Crosby 28 - 29.,B,Daniel Rodriguez,http://www.ufcstats.com/event-details/93bf96be327fcd98
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Jake Collier vs. Chris Barnett,Jake Collier,Chris Barnett,Heavyweight Bout,KO/TKO,2,2:24,3 Rnd (5-5-5),Mark Smith,Punches to Head From Mount,B,Chris Barnett,http://www.ufcstats.com/event-details/93bf96be327fcd98
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Irene Aldana vs. Macy Chiasson,Irene Aldana,Macy Chiasson,Catch Weight Bout,KO/TKO,3,2:21,3 Rnd (5-5-5),Jason Herzog,Kick to Body From Bottom,A,Irene Aldana,http://www.ufcstats.com/event-details/93bf96be327fcd98
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Johnny Walker vs. Ion Cutelaba,Johnny Walker,Ion Cutelaba,Light Heavyweight Bout,Submission,1,4:37,3 Rnd (5-5-5),Mike Beltran,Rear Naked Choke,A,Johnny Walker,http://www.ufcstats.com/event-details/93bf96be327fcd98
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Khamzat Chimaev vs. Kevin Holland,Khamzat Chimaev,Kevin Holland,Catch Weight Bout,Submission,1,2:13,5 Rnd (5-5-5-5-5),Herb Dean,D'Arce Choke On Ground,A,Khamzat Chimaev,http://www.ufcstats.com/event-details/93bf96be327fcd98
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Denis Tiuliulin vs. Jamie Pickett,Denis Tiuliulin,Jamie Pickett,Middleweight Bout,KO/TKO,2,4:52,3 Rnd (5-5-5),Mike Beltran,Punches to Head On Ground,A,Denis Tiuliulin,http://www.ufcstats.com/event-details/93bf96be327fcd98
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Stephanie Egger vs. Ailin Perez,Stephanie Egger,Ailin Perez,Women's Featherweight Bout,Submission,2,4:54,3 Rnd (5-5-5),Loic Pora,Rear Naked Choke,A,Stephanie Egger,http://www.ufcstats.com/event-details/00a905a4a4a2b071
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Khalid Taha vs. Cristian Quinonez,Khalid Taha,Cristian Quinonez,Bantamweight Bout,KO/TKO,1,3:15,3 Rnd (5-5-5),Rich Mitchell,Punches to Head On Ground,B,Cristian Quinonez,http://www.ufcstats.com/event-details/00a905a4a4a2b071
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Benoit Saint Denis vs. Gabriel Miranda,Benoit Saint Denis,Gabriel Miranda,Lightweight Bout,KO/TKO,2,0:16,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,A,Benoit Saint Denis,http://www.ufcstats.com/event-details/00a905a4a4a2b071
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Fares Ziam vs. Michal Figlak,Fares Ziam,Michal Figlak,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Christophe Chapuis 27 - 30. Clemens Werner 27 - 30. Howard Hughes 28 - 29.,A,Fares Ziam,http://www.ufcstats.com/event-details/00a905a4a4a2b071
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Alessio Di Chirico vs. Roman Kopylov,Alessio Di Chirico,Roman Kopylov,Middleweight Bout,KO/TKO,3,1:09,3 Rnd (5-5-5),Rich Mitchell,Punches to Head At Distance,B,Roman Kopylov,http://www.ufcstats.com/event-details/00a905a4a4a2b071
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Robert Whittaker vs. Marvin Vettori,Robert Whittaker,Marvin Vettori,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mark Collett 27 - 30. Howard Hughes 27 - 30. Clemens Werner 28 - 29.,A,Robert Whittaker,http://www.ufcstats.com/event-details/00a905a4a4a2b071
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Abus Magomedov vs. Dustin Stoltzfus,Abus Magomedov,Dustin Stoltzfus,Middleweight Bout,KO/TKO,1,0:19,3 Rnd (5-5-5),Loic Pora,Punches to Head In Clinch,A,Abus Magomedov,http://www.ufcstats.com/event-details/00a905a4a4a2b071
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",William Gomis vs. Jarno Errens,William Gomis,Jarno Errens,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,David Lethaby 28 - 29. Clemens Werner 28 - 29. Christophe Chapuis 29 - 29.,A,William Gomis,http://www.ufcstats.com/event-details/00a905a4a4a2b071
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Charles Jourdain vs. Nathaniel Wood,Charles Jourdain,Nathaniel Wood,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Howard Hughes 27 - 30. Ahmed Korchi 27 - 30. Mark Collett 28 - 29.,B,Nathaniel Wood,http://www.ufcstats.com/event-details/00a905a4a4a2b071
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Nassourdine Imavov vs. Joaquin Buckley,Nassourdine Imavov,Joaquin Buckley,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge 28 - 29. Mark Collett 28 - 29. Derek Cleary 27 - 30.,A,Nassourdine Imavov,http://www.ufcstats.com/event-details/00a905a4a4a2b071
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Ciryl Gane vs. Tai Tuivasa,Ciryl Gane,Tai Tuivasa,Heavyweight Bout,KO/TKO,3,4:23,5 Rnd (5-5-5-5-5),Marc Goddard,Punches to Head At Distance,A,Ciryl Gane,http://www.ufcstats.com/event-details/00a905a4a4a2b071
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",John Makdessi vs. Nasrat Haqparast,John Makdessi,Nasrat Haqparast,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Derek Cleary 27 - 30. Howard Hughes 27 - 30. Mark Collett 28 - 29.,B,Nasrat Haqparast,http://www.ufcstats.com/event-details/00a905a4a4a2b071
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Marcin Tybura vs. Alexandr Romanov,Marcin Tybura,Alexandr Romanov,Heavyweight Bout,Decision - Majority,3,5:00,3 Rnd (5-5-5),Jason Herzog,Sal D'amato 28 - 29. Mike Bell 28 - 29. Derek Cleary 28 - 28.,A,Marcin Tybura,http://www.ufcstats.com/event-details/4f853e98886283cf
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",AJ Fletcher vs. Ange Loosa,AJ Fletcher,Ange Loosa,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,Chris Lee 28 - 29. Dan Furse 28 - 29. Sal D'amato 27 - 29.,B,Ange Loosa,http://www.ufcstats.com/event-details/4f853e98886283cf
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Jose Aldo vs. Merab Dvalishvili,Jose Aldo,Merab Dvalishvili,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Sal D'amato 28 - 29. Mike Bell 27 - 30. Chris Lee 28 - 29.,B,Merab Dvalishvili,http://www.ufcstats.com/event-details/4f853e98886283cf
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Daniel Lacerda vs. Victor Altamirano,Daniel Lacerda,Victor Altamirano,Flyweight Bout,KO/TKO,1,3:39,3 Rnd (5-5-5),Dave Seljestad,Punches to Head From Guard,B,Victor Altamirano,http://www.ufcstats.com/event-details/4f853e98886283cf
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Kamaru Usman vs. Leon Edwards,Kamaru Usman,Leon Edwards,UFC Welterweight Title Bout,KO/TKO,5,4:04,5 Rnd (5-5-5-5-5),Herb Dean,Kick to Head At Distance,B,Leon Edwards,http://www.ufcstats.com/event-details/4f853e98886283cf
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Paulo Costa vs. Luke Rockhold,Paulo Costa,Luke Rockhold,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,Derek Cleary 27 - 30. Mike Bell 27 - 30. Chris Lee 27 - 30.,A,Paulo Costa,http://www.ufcstats.com/event-details/4f853e98886283cf
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Wu Yanan vs. Lucie Pudilova,Wu Yanan,Lucie Pudilova,Women's Bantamweight Bout,KO/TKO,2,4:04,3 Rnd (5-5-5),Herb Dean,Elbows to Head From Mount,B,Lucie Pudilova,http://www.ufcstats.com/event-details/4f853e98886283cf
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Leonardo Santos vs. Jared Gordon,Leonardo Santos,Jared Gordon,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Sal D'amato 27 - 30. Derek Cleary 27 - 30. Mike Bell 27 - 30.,B,Jared Gordon,http://www.ufcstats.com/event-details/4f853e98886283cf
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Amir Albazi vs. Francisco Figueiredo,Amir Albazi,Francisco Figueiredo,Flyweight Bout,Submission,1,4:34,3 Rnd (5-5-5),Dave Seljestad,Rear Naked Choke,A,Amir Albazi,http://www.ufcstats.com/event-details/4f853e98886283cf
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Aoriqileng vs. Jay Perrin,Aoriqileng,Jay Perrin,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Tyler Tomlinson,Sal D'amato 28 - 29. Chris Lee 28 - 29. Steve Faragher 28 - 29.,A,Aoriqileng,http://www.ufcstats.com/event-details/4f853e98886283cf
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Tyson Pedro vs. Harry Hunsucker,Tyson Pedro,Harry Hunsucker,Light Heavyweight Bout,KO/TKO,1,1:05,3 Rnd (5-5-5),Mike Beltran,Kick to Body At Distance,A,Tyson Pedro,http://www.ufcstats.com/event-details/4f853e98886283cf
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Martin Buday vs. Lukasz Brzeski,Martin Buday,Lukasz Brzeski,Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Frank Trigg,Sal D'amato 28 - 29. Mike Bell 29 - 28. Eliot Kelly 28 - 29.,A,Martin Buday,http://www.ufcstats.com/event-details/a23e63184c65f5b8
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Ode Osbourne vs. Tyson Nam,Ode Osbourne,Tyson Nam,Flyweight Bout,KO/TKO,1,2:59,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,B,Tyson Nam,http://www.ufcstats.com/event-details/a23e63184c65f5b8
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Gabriel Benitez vs. Charlie Ontiveros,Gabriel Benitez,Charlie Ontiveros,Lightweight Bout,KO/TKO,1,3:33,3 Rnd (5-5-5),Mike Beltran,Punches to Head From Mount,A,Gabriel Benitez,http://www.ufcstats.com/event-details/a23e63184c65f5b8
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Jason Witt vs. Josh Quinlan,Jason Witt,Josh Quinlan,Catch Weight Bout,KO/TKO,1,2:09,3 Rnd (5-5-5),Frank Trigg,Punch to Head At Distance,B,Josh Quinlan,http://www.ufcstats.com/event-details/a23e63184c65f5b8
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Bruno Silva vs. Gerald Meerschaert,Bruno Silva,Gerald Meerschaert,Middleweight Bout,Submission,3,1:39,3 Rnd (5-5-5),Mike Beltran,Guillotine Choke On Ground,B,Gerald Meerschaert,http://www.ufcstats.com/event-details/a23e63184c65f5b8
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Cynthia Calvillo vs. Nina Nunes,Cynthia Calvillo,Nina Nunes,Women's Flyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Derek Cleary 29 - 28. Junichiro Kamijo 28 - 29. Chris Crail 27 - 30.,B,Nina Nunes,http://www.ufcstats.com/event-details/a23e63184c65f5b8
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Devin Clark vs. Azamat Murzakanov,Devin Clark,Azamat Murzakanov,Light Heavyweight Bout,KO/TKO,3,1:18,3 Rnd (5-5-5),Frank Trigg,Punch to Body At Distance,B,Azamat Murzakanov,http://www.ufcstats.com/event-details/a23e63184c65f5b8
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Marlon Vera vs. Dominick Cruz,Marlon Vera,Dominick Cruz,Bantamweight Bout,KO/TKO,4,2:17,5 Rnd (5-5-5-5-5),Herb Dean,Kick to Head At Distance,A,Marlon Vera,http://www.ufcstats.com/event-details/a23e63184c65f5b8
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Priscila Cachoeira vs. Ariane Lipski,Priscila Cachoeira,Ariane Lipski,Women's Bantamweight Bout,KO/TKO,1,1:05,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,A,Priscila Cachoeira,http://www.ufcstats.com/event-details/a23e63184c65f5b8
